"Airport Report",,,,,,,,,,,
,,,,,,,,,,,
"Code","Name","City","State","State Name"," Latitude "," Longitude ","Country","Country Name","Global Region","WAC","Notes"
"AHZ","Alpe D Huez Airport","Alpe D Huez","  "," ",45.08,6.08,"FR","France","Europe",427,
"AIA","Alliance Municipal","Alliance","NE","Nebraska",42.05,-102.81,"US","United States","North America",65,
"AIB","Anita Bay Airport","Anita Bay","AK","Alaska",56.23,-132.38,"US","United States","North America",1,
"AIC","Airok ","Airok","  "," ",7.10,171.23,"MH","Marshall Islands","Australasia",844,
"AID","Anderson Municipal","Anderson","IN","Indiana",40.11,-85.61,"US","United States","North America",42,
"AIE","Aiome ","Aiome","  "," ",-5.13,144.73,"PG","Papua New Guinea","Australasia",804,
"AIF","Assis Airport","Assis","SP","Sao Paulo",-22.67,-50.42,"BR","Brazil","South America",316,
"AIG","Yalinga ","Yalinga","  "," ",6.52,23.25,"CF","Central African Republic","Africa",509,
"AIH","Aiambak Airport","Aiambak","  "," ",-7.35,141.27,"PG","Papua New Guinea","Australasia",804,
"AII","Ali Sabieh Airport","Ali Sabieh","  "," ",11.15,42.72,"DJ","Djibouti","Africa",525,
"AIK","Aiken Municipal ","Aiken","SC","South Carolina",33.65,-81.68,"US","United States","North America",37,
"AIL","Ailigandi Airport","Ailigandi","  "," ",9.25,-78.08,"PA","Panama","Central America",162,
"AIM","Ailuk ","Ailuk","  "," ",10.20,169.98,"MH","Marshall Islands","Australasia",844,
"AIN","Wainwright","Wainwright","AK","Alaska",70.63,-160.04,"US","United States","North America",1,
"AIO","Atlantic Municipal Airport","Atlantic","IA","Iowa",41.40,-95.02,"US","United States","North America",61,
"AIP","Ailinglapalap Island Airport","Ailinglapalap Island","  "," ",7.27,168.82,"MH","Marshall Islands","Australasia",844,
"AIR","Aripuana","Aripuana","MT","Mato Grosso",-10.18,-59.45,"BR","Brazil","South America",316,
"AIS","Arorae Island ","Arorae Island","  "," ",-2.63,176.82,"KI","Kiribati","Australasia",824,
"AIT","Aitutaki","Aitutaki, Cook Islan","  "," ",-18.85,-159.75,"CK","Cook Islands","Australasia",813,
"AIU","Atiu, Cook Islands","Atiu, Cook Islands","  "," ",-20.03,-158.10,"CK","Cook Islands","Australasia",813,
"AIV","Aliceville","Aliceville","AL","Alabama",33.10,-88.20,"US","United States","North America",51,
"AIW","Ai-Ais Airport","Ai-Ais","  "," ",-27.98,17.58,"NA","Namibia","Africa",575,
"AIY","Bader Field","Atlantic City","NJ","New Jersey",39.36,-74.46,"US","United States","North America",21,
"AIZ","Lee C Fine Memorial Airport","Kaiser/Lake Ozark","MO","Missouri",38.10,-92.55,"US","United States","North America",64,
"AJA","Campo Dell Oro","Ajaccio, Corsica","  "," ",41.92,8.80,"FR","France","Europe",427,
"AJF","Al Jouf ","Jouf","  "," ",29.80,40.07,"SA","Saudi Arabia","Middle East",670,
"AJI","Agri Airport","Agri","  "," ",40.00,43.00,"TR","Turkey","Europe",679,
"AJJ","Anjoujt ","Akjoujt","  "," ",19.73,-14.37,"MR","Mauritania","Africa",545,
"AJK","Araak Airport","Araak","  "," ",34.13,49.83,"IR","Iran","Middle East",632,
"AJL","Aizawl","Aizawl","  "," ",23.73,92.72,"IN","India","Asia",733,
"AJN","Ouani Airport ","Anjouan","  "," ",-12.13,44.43,"KM","Comoros","Africa",513,
"AJO","Aljouf","Aljouf","  "," ",15.72,44.25,"YE","Yemen","Middle East",694,
"AJR","Arvidsjaur","Arvidsjuar","  "," ",65.58,19.28,"SE","Sweden","Europe",484,
"AJS","Abreojos Airport","Abreojos","  "," ",26.83,-113.67,"MX","Mexico","North America",148,
"AJU","Aracaju ","Aracaju","SE","Sergipe",-10.98,-37.05,"BR","Brazil","South America",316,
"AJY","Agades","Agades","  "," ",16.96,7.99,"NE","Niger","Africa",554,
"AKA","Ankang","Ankang","  "," ",32.50,109.01,"CN","China","Asia",713,
"AKB","Atka","Atka","AK","Alaska",52.22,-174.21,"US","United States","North America",1,
"AKC","Fulton International Airport","Akron/Canton","OH","Ohio",41.04,-81.47,"US","United States","North America",44,
"AKD","Akola Airport","Akola","  "," ",20.67,77.08,"IN","India","Asia",733,
"AKE","Akieni","Akieni","  "," ",-1.17,13.92,"GA","Gabon","Africa",526,
"AKF","Kufrah","Kufrah","  "," ",24.20,23.33,"LY","Libya","Africa",538,
"AKG","Anguganak ","Anguganak","  "," ",-3.58,142.25,"PG","Papua New Guinea","Australasia",804,
"AKH","Prince Sultan Air Base","Al Kharj","  "," ",24.06,47.58,"SA","Saudi Arabia","Middle East",670,
"AKI","Akiak ","Akiak","AK","Alaska",60.91,-161.22,"US","United States","North America",1,
"AKJ","Asahikawa ","Asahikawa","  "," ",43.67,142.45,"JP","Japan","Asia",736,
"AKK","Akhiok Spb","Akhiok","AK","Alaska",56.95,-154.17,"US","United States","North America",1,
"AKL","Auckland Intl ","Auckland","  "," ",-37.01,174.80,"NZ","New Zealand","Australasia",851,
"AKM","Zakouma Airport","Zakouma","  "," ",10.88,19.82,"TD","Chad","Africa",511,
"AKN","King Salmon ","King Salmon","AK","Alaska",58.68,-156.65,"US","United States","North America",1,
"AKO","Akron ","Akron","CO","Colorado",40.17,-103.22,"US","United States","North America",82,
"AKP","Anaktuvuk Pass","Anaktuvuk Pass","AK","Alaska",68.14,-151.74,"US","United States","North America",1,
"AKQ","Gunung Batin Airport","Astraksetra","  "," ",-4.62,105.23,"ID","Indonesia","Asia",732,
"AKR","Akure Airport","Akure","  "," ",7.25,5.08,"NG","Nigeria","Africa",555,
"AKS","Gwaunaru'U","Auki","  "," ",-8.70,160.68,"SB","Solomon Islands","Australasia",874,
"AKT","Akrotiri RAF Station","Akrotiri","  "," ",34.59,32.99,"CY","Cyprus","Europe",611,
"AKU","Aksu","Aksu","  "," ",38.67,75.67,"CN","China","Asia",713,
"AKV","Akulivik","Akulivik","QC","Quebec",60.73,-78.58,"CA","Canada","North America",941,
"AKW","Aghajari Airport","Aghajari","  "," ",30.75,49.68,"IR","Iran","Middle East",632,
"AKX","Aktyubinsk","Aktyubinsk","  "," ",50.25,57.22,"KZ","Kazakhstan","Asia",738,
"AKY","Sittwe Civil","Sittwe","  "," ",20.13,92.88,"MM","Myanmar","Asia",706,
"ALA","Almaty","Almaty","  "," ",43.35,77.03,"KZ","Kazakhstan","Asia",738,
"ALB","Albany County ","Albany","NY","New York",42.75,-73.81,"US","United States","North America",22,
"ALC","Alicante","Alicante","  "," ",38.28,-0.56,"ES","Spain","Europe",482,
